"Name","Login Name","Host","Scope","Realm Name","Creation Time"
"S-1-5-18","SYSTEM","CW Image.dd_1 Host","Local","NT AUTHORITY",""
"S-1-5-80-956008885-3418522649-1831038044-1853292631-2271478464","","CW Image.dd_1 Host","Local","NT SERVICE",""
"S-1-5-21-2425377081-3129163575-2985601102-1001","admin11","CW Image.dd_1 Host","Domain","","2015-03-22 17:51:54 EET"
"S-1-5-21-2425377081-3129163575-2985601102-1000","informant","CW Image.dd_1 Host","Domain","","2015-03-22 16:33:54 EET"
"S-1-5-21-2425377081-3129163575-2985601102-1003","temporary","CW Image.dd_1 Host","Domain","","2015-03-22 17:53:01 EET"
"S-1-5-20","NETWORK SERVICE","CW Image.dd_1 Host","Local","NT AUTHORITY",""
"S-1-5-19","LOCAL SERVICE","CW Image.dd_1 Host","Local","NT AUTHORITY",""
"S-1-5-80-2620923248-4247863784-3378508180-2659151310-2535246811","","CW Image.dd_1 Host","Local","NT SERVICE",""
"S-1-5-21-2425377081-3129163575-2985601102-1002","ITechTeam","CW Image.dd_1 Host","Domain","","2015-03-22 17:52:30 EET"
"S-1-5-21-2425377081-3129163575-2985601102-500","Administrator","CW Image.dd_1 Host","Domain","","2015-03-25 12:33:22 EET"
"S-1-5-21-2425377081-3129163575-2985601102-501","Guest","CW Image.dd_1 Host","Domain","","2015-03-25 12:33:22 EET"
