"Source Name","Program Name","Path","Date/Time","Count","Comment","Data Source"
"ASPNET_REGIIS.EXE-75651A3C.pf","ASPNET_REGIIS.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V4.0.30319","2015-03-25 16:54:21 EET","1","Prefetch File","CW Image.dd"
"ASPNET_REGIIS.EXE-86915B5A.pf","ASPNET_REGIIS.EXE","","2015-03-25 16:54:28 EET","1","Prefetch File","CW Image.dd"
"AUDIODG.EXE-BDFD3029.pf","AUDIODG.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:14:45 EET","31","Prefetch File","CW Image.dd"
"AU_.EXE-506726E7.pf","AU_.EXE","/USERS/INFORMANT/APPDATA/LOCAL/TEMP/~NSU.TMP","2015-03-25 17:18:29 EET","1","Prefetch File","CW Image.dd"
"BFSVC.EXE-9C7A4DEE.pf","BFSVC.EXE","/WINDOWS","2015-03-25 12:18:12 EET","2","Prefetch File","CW Image.dd"
"CCLEANER64.EXE-779BD542.pf","CCLEANER64.EXE","/PROGRAM FILES/CCLEANER","2015-03-25 17:15:50 EET","2","Prefetch File","CW Image.dd"
"CCSETUP504.EXE-6BA2F6A1.pf","CCSETUP504.EXE","/USERS/INFORMANT/DESKTOP/DOWNLOAD","2015-03-25 16:57:56 EET","1","Prefetch File","CW Image.dd"
"CHROME.EXE-D999B1BA.pf","CHROME.EXE","/PROGRAM FILES (X86)/GOOGLE/CHROME/APPLICATION","2015-03-24 23:05:38 EET","71","Prefetch File","CW Image.dd"
"CLRGC.EXE-5D5B90F5.pf","CLRGC.EXE","/WINDOWS/WINSXS/AMD64_NETFX-CLRGC_B03F5F7F11D50A3A_6.1.7601.17514_NONE_AD7A390FA131C970","2015-03-25 12:18:15 EET","3","Prefetch File","CW Image.dd"
"CONHOST.EXE-1F3E9D7E.pf","CONHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:18:36 EET","16","Prefetch File","CW Image.dd"
"CONSENT.EXE-531BD9EA.pf","CONSENT.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:18:29 EET","22","Prefetch File","CW Image.dd"
"CONTROL.EXE-817F8F1D.pf","CONTROL.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:29:34 EET","1","Prefetch File","CW Image.dd"
"DEVICEDISPLAYOBJECTPROVIDER.E-17410B90.pf","DEVICEDISPLAYOBJECTPROVIDER.E","","2015-03-24 23:02:47 EET","1","Prefetch File","CW Image.dd"
"DLLHOST.EXE-4F28A26F.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-24 23:01:10 EET","3","Prefetch File","CW Image.dd"
"DLLHOST.EXE-5E46FA0D.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:28:34 EET","59","Prefetch File","CW Image.dd"
"DLLHOST.EXE-766398D2.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:18:29 EET","33","Prefetch File","CW Image.dd"
"DLLHOST.EXE-7FAA2E4C.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:18:29 EET","1","Prefetch File","CW Image.dd"
"DLLHOST.EXE-A8DE6D5B.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:24:53 EET","7","Prefetch File","CW Image.dd"
"DLLHOST.EXE-C373C89E.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:29:36 EET","1","Prefetch File","CW Image.dd"
"DLLHOST.EXE-E129DEF0.pf","DLLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-24 22:24:03 EET","3","Prefetch File","CW Image.dd"
"DLLHOST.EXE-ECB71776.pf","DLLHOST.EXE","/WINDOWS/SYSWOW64","2015-03-25 17:18:02 EET","14","Prefetch File","CW Image.dd"
"DOTNETFX40_FULL_SETUP.EXE-5EFD2BFF.pf","DOTNETFX40_FULL_SETUP.EXE","/USERS/INFORMANT/APPDATA/LOCAL/TEMP/ERASERINSTALLBOOTSTRAPPER","2015-03-25 16:50:15 EET","1","Prefetch File","CW Image.dd"
"DRVINST.EXE-4CB4314A.pf","DRVINST.EXE","/WINDOWS/SYSTEM32","2015-03-25 12:18:10 EET","14","Prefetch File","CW Image.dd"
"ERASER 6.2.0.2962.EXE-BE552234.pf","ERASER 6.2.0.2962.EXE","/USERS/INFORMANT/DESKTOP/DOWNLOAD","2015-03-25 16:50:14 EET","1","Prefetch File","CW Image.dd"
"ERASER.EXE-CE61944A.pf","ERASER.EXE","/PROGRAM FILES/ERASER","2015-03-25 17:13:30 EET","2","Prefetch File","CW Image.dd"
"GOOGLEDRIVESYNC.EXE-841A0D94.pf","GOOGLEDRIVESYNC.EXE","/PROGRAM FILES (X86)/GOOGLE/DRIVE","2015-03-25 17:21:31 EET","2","Prefetch File","CW Image.dd"
"GOOGLEUPDATE.EXE-B95715F5.pf","GOOGLEUPDATE.EXE","/PROGRAM FILES (X86)/GOOGLE/UPDATE","2015-03-25 17:16:00 EET","38","Prefetch File","CW Image.dd"
"IEXPLORE.EXE-4B6C9213.pf","IEXPLORE.EXE","/PROGRAM FILES (X86)/INTERNET EXPLORER","2015-03-25 17:22:07 EET","14","Prefetch File","CW Image.dd"
"IEXPLORE.EXE-908C99F8.pf","IEXPLORE.EXE","/PROGRAM FILES (X86)/INTERNET EXPLORER","2015-03-25 17:22:06 EET","2","Prefetch File","CW Image.dd"
"LODCTR.EXE-3CCE0534.pf","LODCTR.EXE","/WINDOWS/SYSWOW64","2015-03-25 16:54:49 EET","7","Prefetch File","CW Image.dd"
"LODCTR.EXE-72CD50D0.pf","LODCTR.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:54:48 EET","7","Prefetch File","CW Image.dd"
"LOGONUI.EXE-09140401.pf","LOGONUI.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:45:00 EET","2","Prefetch File","CW Image.dd"
"MCBUILDER.EXE-7F26B913.pf","MCBUILDER.EXE","/WINDOWS/SYSTEM32","2015-03-25 12:33:23 EET","1","Prefetch File","CW Image.dd"
"MOBSYNC.EXE-C5E2284F.pf","MOBSYNC.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:19:53 EET","1","Prefetch File","CW Image.dd"
"MOFCOMP.EXE-8FE3D558.pf","MOFCOMP.EXE","/WINDOWS/SYSTEM32/WBEM","2015-03-25 16:54:23 EET","3","Prefetch File","CW Image.dd"
"MOFCOMP.EXE-FDE76EFC.pf","MOFCOMP.EXE","/WINDOWS/SYSWOW64/WBEM","2015-03-25 16:54:29 EET","3","Prefetch File","CW Image.dd"
"MSCORSVW.EXE-245ED79E.pf","MSCORSVW.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V2.0.50727","2015-03-25 12:18:16 EET","3","Prefetch File","CW Image.dd"
"MSCORSVW.EXE-57D17DAF.pf","MSCORSVW.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V4.0.30319","2015-03-25 16:54:39 EET","8","Prefetch File","CW Image.dd"
"MSCORSVW.EXE-90526FAC.pf","MSCORSVW.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK/V2.0.50727","2015-03-25 12:18:27 EET","4","Prefetch File","CW Image.dd"
"MSCORSVW.EXE-C3C515BD.pf","MSCORSVW.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK/V4.0.30319","2015-03-25 16:53:15 EET","14","Prefetch File","CW Image.dd"
"MSIEXEC.EXE-A2D55CB6.pf","MSIEXEC.EXE","/WINDOWS/SYSWOW64","2015-03-25 17:18:54 EET","7","Prefetch File","CW Image.dd"
"MSIEXEC.EXE-E09A077A.pf","MSIEXEC.EXE","/WINDOWS/SYSWOW64","2015-03-25 17:19:11 EET","7","Prefetch File","CW Image.dd"
"MSOSYNC.EXE-6051F98A.pf","MSOSYNC.EXE","","2015-03-25 15:07:10 EET","1","Prefetch File","CW Image.dd"
"NETSH.EXE-F1B6DA12.pf","NETSH.EXE","/WINDOWS/SYSTEM32","2015-03-25 12:18:13 EET","2","Prefetch File","CW Image.dd"
"NGEN.EXE-AE594A6B.pf","NGEN.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V4.0.30319","2015-03-25 16:54:39 EET","4","Prefetch File","CW Image.dd"
"NGEN.EXE-EC3F9239.pf","NGEN.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK/V4.0.30319","2015-03-25 16:54:42 EET","4","Prefetch File","CW Image.dd"
"NTOSBOOT-B00DFAAD.pf","NTOSBOOT","","2015-03-22 16:51:06 EET","2","Prefetch File","CW Image.dd"
"OSPPSVC.EXE-E53D3CC0.pf","OSPPSVC.EXE","/PROGRAM FILES/COMMON FILES/MICROSOFT SHARED/OFFICESOFTWAREPROTECTIONPLATFORM","2015-03-25 17:24:50 EET","12","Prefetch File","CW Image.dd"
"OUTLOOK.EXE-1DF422BF.pf","OUTLOOK.EXE","/PROGRAM FILES/MICROSOFT OFFICE/OFFICE15","2015-03-25 16:41:03 EET","1","Prefetch File","CW Image.dd"
"PING.EXE-371F41E2.pf","PING.EXE","","2015-03-25 16:58:34 EET","1","Prefetch File","CW Image.dd"
"REGTLIBV12.EXE-B7C4F383.pf","REGTLIBV12.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK/V4.0.30319","2015-03-25 16:51:41 EET","7","Prefetch File","CW Image.dd"
"REGTLIBV12.EXE-D3A27E55.pf","REGTLIBV12.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V4.0.30319","2015-03-25 16:51:41 EET","7","Prefetch File","CW Image.dd"
"RUNDLL32.EXE-411A328D.pf","RUNDLL32.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:23:50 EET","1","Prefetch File","CW Image.dd"
"RUNDLL32.EXE-89545801.pf","RUNDLL32.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:29:34 EET","1","Prefetch File","CW Image.dd"
"RUNDLL32.EXE-AF74762C.pf","RUNDLL32.EXE","/WINDOWS/SYSTEM32","2015-03-24 23:03:11 EET","1","Prefetch File","CW Image.dd"
"RUNDLL32.EXE-FE9FC6E1.pf","RUNDLL32.EXE","/WINDOWS/SYSTEM32","2015-03-24 22:52:58 EET","1","Prefetch File","CW Image.dd"
"SC.EXE-945D79AE.pf","SC.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:54:07 EET","8","Prefetch File","CW Image.dd"
"SCHTASKS.EXE-AD598958.pf","SCHTASKS.EXE","/WINDOWS/SYSWOW64","2015-03-25 17:18:37 EET","2","Prefetch File","CW Image.dd"
"SEARCHFILTERHOST.EXE-77482212.pf","SEARCHFILTERHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:28:34 EET","82","Prefetch File","CW Image.dd"
"SEARCHINDEXER.EXE-4A6353B9.pf","SEARCHINDEXER.EXE","/WINDOWS/SYSTEM32","2015-03-25 12:17:57 EET","1","Prefetch File","CW Image.dd"
"SEARCHPROTOCOLHOST.EXE-0CB8CADE.pf","SEARCHPROTOCOLHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:28:34 EET","76","Prefetch File","CW Image.dd"
"SERVICEMODELREG.EXE-1F42B3E3.pf","SERVICEMODELREG.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK64/V4.0.30319","2015-03-25 16:54:07 EET","1","Prefetch File","CW Image.dd"
"SERVICEMODELREG.EXE-AFDDD121.pf","SERVICEMODELREG.EXE","/WINDOWS/MICROSOFT.NET/FRAMEWORK/V4.0.30319","2015-03-25 16:54:09 EET","1","Prefetch File","CW Image.dd"
"SETUP.EXE-9FA85C1C.pf","SETUP.EXE","/A5DF94FCAC8E62A530D048042C2A","2015-03-25 16:50:17 EET","1","Prefetch File","CW Image.dd"
"SETUPUTILITY.EXE-3393AB00.pf","SETUPUTILITY.EXE","/A5DF94FCAC8E62A530D048042C2A","2015-03-25 16:54:50 EET","3","Prefetch File","CW Image.dd"
"SETUP_WM.EXE-D33FD27D.pf","SETUP_WM.EXE","/PROGRAM FILES (X86)/WINDOWS MEDIA PLAYER","2015-03-25 16:42:48 EET","1","Prefetch File","CW Image.dd"
"SOLITAIRE.EXE-906D7E29.pf","SOLITAIRE.EXE","/PROGRAM FILES/MICROSOFT GAMES/SOLITAIRE","2015-03-24 20:29:07 EET","1","Prefetch File","CW Image.dd"
"SPPSVC.EXE-B0F8131B.pf","SPPSVC.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:07:48 EET","2","Prefetch File","CW Image.dd"
"STIKYNOT.EXE-AD181651.pf","STIKYNOT.EXE","/WINDOWS/SYSTEM32","2015-03-24 20:31:55 EET","2","Prefetch File","CW Image.dd"
"SVCHOST.EXE-007FEA55.pf","SVCHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 12:17:54 EET","1","Prefetch File","CW Image.dd"
"SVCHOST.EXE-05F624AB.pf","SVCHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:07:49 EET","2","Prefetch File","CW Image.dd"
"SVCHOST.EXE-7AC6742A.pf","SVCHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:31:53 EET","2","Prefetch File","CW Image.dd"
"SVCHOST.EXE-7CFEDEA3.pf","SVCHOST.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:57:18 EET","6","Prefetch File","CW Image.dd"
"SVCHOST.EXE-80F4A784.pf","SVCHOST.EXE","/WINDOWS/SYSTEM32","2015-03-24 22:58:52 EET","1","Prefetch File","CW Image.dd"
