"Source Name","Date/Time","Device Make","Device Model","Device ID","Data Source"
"SYSTEM","2015-03-25 15:05:35 EET","","ROOT_HUB","5&3bb57b&0","CW Image.dd"
"SYSTEM","2015-03-25 15:05:35 EET","","ROOT_HUB20","5&299e1c9f&0","CW Image.dd"
"SYSTEM","2015-03-24 15:38:00 EET","SanDisk Corp.","Cruzer Fit","4C530012450531101593","CW Image.dd"
"SYSTEM","2015-03-24 21:38:09 EET","SanDisk Corp.","Cruzer Fit","4C530012550531106501","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual USB Hub","6&b77da92&0&2","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","6&b77da92&0&1","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","7&2a7d3009&0&0000","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","7&2a7d3009&0&0001","CW Image.dd"
"SYSTEM","2015-03-25 15:05:35 EET","","ROOT_HUB","5&3bb57b&0","CW Image.dd"
"SYSTEM","2015-03-25 15:05:35 EET","","ROOT_HUB20","5&299e1c9f&0","CW Image.dd"
"SYSTEM","2015-03-24 15:38:00 EET","SanDisk Corp.","Cruzer Fit","4C530012450531101593","CW Image.dd"
"SYSTEM","2015-03-24 21:38:09 EET","SanDisk Corp.","Cruzer Fit","4C530012550531106501","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual USB Hub","6&b77da92&0&2","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","6&b77da92&0&1","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","7&2a7d3009&0&0000","CW Image.dd"
"SYSTEM","2015-03-25 15:05:36 EET","VMware, Inc.","Virtual Mouse","7&2a7d3009&0&0001","CW Image.dd"
